# ElGamal Encrypted File
# p=4066448147
# g=2
# D2=2674633987
# C2=3001169711
# Encrypted data (r,e pairs):
3061702743,3866935983
2655181722,3997329950
4028337596,2478032241
699363518,3512656077
1959430660,3261391266
2692320609,879710215
659590482,2151010056
2425753382,3179941276
3010101955,511776643
1470428280,1329700090
1321081385,678153135
429874064,528207331
2988916364,3295379258
2197435976,3179444482
2968692623,2521212429
1171511941,1558898686
1546430481,552444039
1112936090,639751802
2057126639,540801997
1951800582,3950160057
2525293887,2060671792
270270338,3578156766
1746734359,1190088090
1408350372,1353989751
2330229355,3765507062
723729413,692588099
273302266,3198198183
2811602445,916013938
911605277,630093394
2345273392,1285429796
4042206811,755227099
2107016575,3552328915
3095345150,2986179842
3939925017,1796897998
2582238245,3162949623
2262207144,441304865
1923241886,1089249734
3952341997,870166688
2684194646,375048633
3188844037,2827228508
2556950323,2142417177
224976458,3380439219
661371792,836421837
3606702312,124512684
3572020295,1978578863
34321586,3321259974
2694925938,2032018096
1358513654,3207896019
2387534702,984690688
1704240897,2542431066
2424087088,1926797705
746719086,3029973730
3641524069,2272783904
1076706494,1248564352
160064108,781719405
2971967543,425537069
1081691347,3336873496
2923205040,3394634453
2178655314,1873663282
1381881392,602219246
3180198452,345811730
1973764453,2711153676
2022430499,4013902504
10551700,2923623011
659787037,2255290049
3984934015,951711928
3792061317,1078039299
3604801840,3845869803
315503861,3941074999
3146323789,1787624839
2184035507,597654322
1750050623,2208009587
3176049874,3939958128
3339276263,3895887826
395619063,1851738974
3495383918,462201921
3987956826,2336498470
1628031624,3896787613
2668155323,2505581627
1520664787,3362845113
2612799992,3187148604
741828144,3531036554
3732166030,3278861744
2085209605,2112301257
2127880762,1766568664
874613825,3647475754
1540322791,3284839963
2942623522,3668590792
3340029593,1497860882
897691237,2609915257
3479190208,2842543840
1506605908,1428321533
681026461,3157400112
3928984836,361230383
292146244,247539438
1568561824,716325134
3419925907,2380639244
2017242215,3046896955
1568351024,1673808894
1867517267,1727624299
1700762245,1503619077
52633980,105918760
3709163809,2394472378
1530354830,3175514765
1187360293,666990461
934063344,2441917329
2315595505,3060499391
193761628,2094558190
2884077734,355451261
1085298702,2933983145
2402364159,2623361881
3365303897,912695953
1326791789,516708095
401729412,655040133
596556610,2423525173
721205722,676955767
1591307049,1586338446
628802908,1910968931
937814386,209559147
2579310128,1138230353
2069058185,2671097595
3509406734,768136309
345974179,703386339
2624156596,1741168347
3617607465,1230839282
3486082466,3508232998
2260763834,2891654615
3542818942,1015577454
1735257382,2944451371
906554036,3963856221
2475421276,1949795020
1176087076,423091021
3752208822,482033565
1390318115,3684446281
3642829134,3816144437
1929189911,3884657957
2536202914,2925904587
566705760,1641283271
2127630402,2151091316
3683944327,3289783316
3228405081,4008570848
782601456,1003948743
1017308083,2018478628
241210085,3012875256
1749294460,3810446129
2381289351,697962592
2227739423,924405739
2279536223,1306181412
765537026,1602005729
2337407585,956533142
2930148707,3398597251
229032230,1487114408
1334251873,363514784
3092039905,753902873
3141576621,2822579607
3697190112,1761541943
3321674068,3131140684
2925261231,3042177139
1060379595,2497716574
2949043109,1033283096
1789875451,2243640702
6912565,309914666
2198843626,1300218203
2929551328,3669031106
2815856327,1349297780
1556635670,407818144
1855066930,425760664
3986092739,804847759
2972951875,1302840446
1773890401,392593621
2332799016,323773164
618770212,1057138118
3647886571,1511847358
1667767184,3099300887
2624636280,3279833982
3882981721,176969354
3435397405,134357205
1383463553,1997204062
3900791463,2978583817
3497701742,3139115337
1950008976,2474564205
3568992697,3845277812
365197708,748971443
366952237,3364555385
1357849681,1212517822
3143692440,1420882203
398396947,2123854354
2891622053,1002354458
1362935119,2961053625
3999264023,3070285618
3029540832,2393782208
1199336536,2142268139
3770908145,3084193142
2745903470,2012212578
2312766167,2597366720
3501465744,3601190336
3325202697,618611442
437373096,1579737506
524906619,3239095736
2389002260,3052244243
1675264787,2084200771
2632352418,3250955153
2009894017,1592720345
2792883753,1221188159
3576377412,987131261
1744127950,3098067089
1862024466,1147595859
3381361040,952274627
882589291,3581901675
101384531,2400385140
3182862669,3080940907
2570833496,654598980
1355846310,588638425
172986455,420784973
139532705,2780000795
407343837,1091920699
3297186508,1068166156
2124264316,1717083603
3133837743,1600842869
2895391688,2112617591
3608515253,133803258
1317678585,4029315847
2944744027,3814640695
1532024013,1987673416
468149810,948504758
2276748779,742354185
3469482894,1902397847
1844431052,3096561383
1860485263,2089882528
1839296670,1236443377
2261426775,246911241
3824880344,1244487451
1287472373,3625248926
1111910715,113746714
1755184643,733964507
403925380,2184233795
2440843190,3198380938
1085982012,84440136
1747388266,1054061815
3734311989,3895119072
3865586060,2632875905
1176356037,1318051140
1869353880,647991965
2824911116,2148117899
746245644,901618281
552355119,3789488303
1178843363,1682128277
1861706510,3503600188
1507195125,502982368
1535567247,3235435762
2850505358,2132604156
3162358067,3171398011
973705902,1034682219
3806219446,1247631923
663553112,801328001
152004681,859367827
3031479798,3285672443
3696706290,1448749271
2522991650,3112284736
1701910095,2145321480
582574465,1933966156
1609173526,2869805489
487648114,678365009
1654509695,2091757684
945068436,1884622260
718466444,3843838633
3180585028,3031470380
1204650023,237469688
2280728226,1461445491
3967410006,44661827
3422621660,2045618335
2333235238,1695710521
1828540884,2960015468
2918084967,3293629728
426794870,3922394373
2723812337,3498790447
1662245775,3577713402
1329289566,55838034
401997827,87507747
1514125978,2182055022
2989471605,880130373
2966137712,2500920405
3613204068,2575151651
2675122412,1344642096
1181654326,3720777845
3251179508,3054299134
3360323156,711831908
2182793225,2707448992
3157825413,781671216
